x,y,z,p0,p1
-2.723943e-02,5.346039e-02,5.555556e-03,1.000000e+00,8.910065e-01
-2.723943e-02,5.346039e-02,3.392470e-18,1.000000e+00,8.910065e-01
-2.583067e-02,5.415512e-02,2.777778e-03,1.000000e+00,9.025853e-01
-2.723943e-02,5.346039e-02,2.777778e-03,1.000000e+00,8.910065e-01
-2.583067e-02,5.415512e-02,3.340036e-18,1.000000e+00,9.025853e-01
-2.440420e-02,5.481273e-02,5.555556e-03,1.000000e+00,9.135455e-01
-3.267834e-02,5.032023e-02,5.042193e-18,1.000000e+00,8.386706e-01
-3.526712e-02,4.854102e-02,5.187639e-18,1.000000e+00,8.090170e-01
-3.267834e-02,5.032023e-02,5.555556e-03,1.000000e+00,8.386706e-01
-3.398437e-02,4.944757e-02,5.116669e-18,1.000000e+00,8.241262e-01
-3.267834e-02,5.032023e-02,2.777778e-03,1.000000e+00,8.386706e-01
-3.398437e-02,4.944757e-02,2.777778e-03,1.000000e+00,8.241262e-01
-3.775922e-02,4.662876e-02,5.318865e-18,1.000000e+00,7.771460e-01
-3.775922e-02,4.662876e-02,5.555556e-03,1.000000e+00,7.771460e-01
-3.652569e-02,4.760120e-02,5.255053e-18,1.000000e+00,7.933533e-01
-3.652569e-02,4.760120e-02,2.777778e-03,1.000000e+00,7.933533e-01
-3.775922e-02,4.662876e-02,2.777778e-03,1.000000e+00,7.771460e-01
-3.526712e-02,4.854102e-02,5.555556e-03,1.000000e+00,8.090170e-01
-4.242641e-02,4.242641e-02,7.000837e-18,1.000000e+00,7.071068e-01
-4.458869e-02,4.014784e-02,7.154372e-18,1.000000e+00,6.691306e-01
-4.242641e-02,4.242641e-02,5.555556e-03,1.000000e+00,7.071068e-01
-4.352246e-02,4.130127e-02,7.080030e-18,1.000000e+00,6.883546e-01
-4.242641e-02,4.242641e-02,2.777778e-03,1.000000e+00,7.071068e-01
-4.352246e-02,4.130127e-02,2.777778e-03,1.000000e+00,6.883546e-01
-4.662876e-02,3.775922e-02,5.555556e-03,1.000000e+00,6.293204e-01
-4.662876e-02,3.775922e-02,7.288298e-18,1.000000e+00,6.293204e-01
-4.562436e-02,3.896688e-02,2.777778e-03,1.000000e+00,6.494480e-01
-4.662876e-02,3.775922e-02,2.777778e-03,1.000000e+00,6.293204e-01
-4.562436e-02,3.896688e-02,7.223810e-18,1.000000e+00,6.494480e-01
-4.458869e-02,4.014784e-02,5.555556e-03,1.000000e+00,6.691306e-01
