x,y,z,real,imag
-5.4845573425292969e-02,8.9427642822265618e-02,-1.9945199584960938e-01,2.0989160427465601e+00,3.1348308975465149e+00
-5.1459362030029300e-02,9.6870552062988280e-02,-2.0271974182128907e-01,2.1236392580732320e+00,3.1047980137119664e+00
7.7012515068054198e-03,8.8396293640136722e-02,-1.1745127868652344e-01,1.3281070494553271e+00,3.2757362699663615e+00
1.1900284290313722e-03,8.8048767089843744e-02,-1.1626708984375000e-01,1.3306457075874389e+00,3.3526964671247015e+00
5.0322751998901367e-03,8.1370811462402340e-02,-1.1532160186767579e-01,1.2643047777771779e+00,3.2020524617688730e+00
-2.3584608078002930e-02,8.8539093017578119e-02,-2.0123170471191407e-01,2.1766622510387315e+00,2.2751464300512274e+00
-1.2245359039306640e-01,5.7539459228515624e-02,-2.0560098266601562e-01,1.6302357562247978e+00,3.9896926568533608e+00
1.0083492279052735e-01,1.2770260620117188e-01,-2.0975735473632812e-01,2.1106391911526794e+00,1.2835712154905332e+00
1.0429709625244141e-01,5.3240917205810548e-02,-1.4685012817382812e-01,9.7384055572784844e-01,1.2747333157872016e+00
1.1819400024414063e-01,8.6825630187988279e-02,-1.4703973388671876e-01,1.5061095956810571e+00,2.1948437419668649e+00
3.0426631927490233e-02,-4.0435325622558596e-02,-1.1539987182617187e-01,2.5101479612724298e-01,1.4486804412035514e-01
-7.3811668395996094e-02,8.2867713928222661e-02,-2.0358506774902344e-01,2.0020156982950716e+00,3.5185799591295170e+00
-1.4519183349609374e-01,4.0614604949951172e-02,-1.9186671447753906e-01,1.4050578911731348e+00,4.0044759912514625e+00
9.0156158447265627e-02,1.3433785438537597e-02,-1.2456842041015626e-01,4.3921080880744856e-01,-3.4031577350954212e-01
-7.4804959297180172e-03,8.6861808776855468e-02,-2.0832820129394530e-01,2.1700043015804322e+00,1.6347276309596392e+00
1.2544277191162109e-01,1.0474440002441407e-01,-1.5479000854492186e-01,1.7495253371597901e+00,2.2550910981550070e+00
8.6433624267578127e-02,3.2809059143066407e-02,-1.3741302490234375e-01,6.5397611223686525e-01,4.4366233392307430e-01
1.2142678070068359e-01,1.2044293212890625e-01,-1.6385060119628905e-01,1.8986554270294580e+00,2.2301639897015759e+00
-9.3244712829589849e-02,8.1044769287109381e-02,-2.0811650085449218e-01,1.8983842244497573e+00,3.8079569451088373e+00
5.8996143341064455e-02,1.0470587921142578e-01,-2.1215132141113283e-01,2.0931860459899667e+00,5.6583138610220485e-01
4.8333557128906253e-02,-3.2468936920166017e-02,-1.1540109252929688e-01,2.5661870847051904e-01,-1.6960150531041052e-01
4.9571666717529300e-02,9.7888191223144530e-02,-2.0382357788085936e-01,2.0766999673484428e+00,4.0824483746717521e-01
4.4323711395263671e-02,8.7056213378906247e-02,-2.0025355529785155e-01,2.0346900070102958e+00,1.0387380423853121e-01
9.1073219299316402e-02,4.5785434722900392e-02,-1.4486900329589844e-01,8.5137651944684301e-01,1.0468328617887783e+00
6.0898155212402341e-02,-2.6954614639282226e-02,-1.1539697265625000e-01,2.6022137345448604e-01,-4.0448968577864419e-01
